title,subtitle,description,incorporation,headquarters,sectors,social_links,awards,url
VIU VENTURES AG,Challenging the established rules in the eyewear industry,"VIU prescription glasses and sunglasses unite brilliant design with a transparent manufacturing process and fair prices. The collections are designed in Switzerland by Fabrice Aeberhard, VIU’s Creative Director. Each individual pair is then crafted in more than 80 manual steps at a traditional manufacturer in the Italian Dolomites or on Honshu Island in Japan.By delivering directly from the manufacturer to the customer, VIU offers high-quality design and sustainable products at revolutionary prices: VIU glasses including prescription lenses are available from EUR 165 / CHF 195 and sunglasses from EUR 145 / CHF 175. VIU collections are available in VIU stores throughout Germany, Austria, and Switzerland; online at www.shopviu.com; and in selected partner stores. The first stores in Scandinavia are planned for Summer 2017.",08.08.2013,Zürich,"['ICT', 'Consumer products', 'Consumer', 'Ecommerce']","{'linkedin': 'https://www.linkedin.com/company/viu-eyewear/', 'fb': 'https://www.facebook.com/viueyewearCH/', 'twitter': 'https://twitter.com/viueyewear', 'ig': 'https://www.instagram.com/viueyewear/?hl=de', 'home': 'http://www.shopviu.com'}","['TOP 100 Swiss Startups 2018', 'TOP 100 Swiss Startups 2017', 'TOP 100 Swiss Startups 2016', 'TOP 100 Swiss Startups 2015', 'Venture Leaders China 2017', 'HSG Spin-off 2013', 'TOP 100 Scale-ups 2019']",https://www.venturelab.swiss/VIUVentures
Finity SA (former paper.li),Create your newspaper,"Build your digital presence in minutes. We’ll bring you content to share every day.And a website that’s always fresh. Paper.li is the only end-to-end, easy to use marketing tool for people.",27.10.2016,Lausanne,"['ICT', 'Consumer', 'Internet', 'Media']","{'linkedin': 'https://www.linkedin.com/company/finityai', 'fb': 'https://www.facebook.com/Paper.li1/', 'twitter': 'https://twitter.com/paper_li', 'home': 'https://paper.li/'}","['TOP 100 Swiss Startups 2011', 'Red Herring Europe Finalist 2012', 'Red Herring Europe Winner 2012']",https://www.venturelab.swiss/Smallrivers
Investment Navigator AG,Simplifying financial advice for Wealth Managers,"As a digital partner to wealth managers, the firm supports financial service providers in Swiss and transnational advisory processes. Together with its financial partners, Investment Navigator offers web-based technology platforms that set new standards in terms of transparency and efficiency in the advisory process. Its core product is a public information platform, investmentnavigator.com, a Swiss FinTech innovation which supports banks and asset managers in the selection of financial products by enabling them efficiently to fulfil a wide range of Swiss and transnational regulatory requirements. Investment Navigators’ strategic partner fundinfo AG is a leading supplier of fund documents and data.",20.08.2014,Zürich,"['ICT', 'Consulting services', 'Fintech']","{'linkedin': 'https://www.linkedin.com/company/investment-navigator/', 'fb': 'https://www.facebook.com/Investment-Navigator-AG-100169878058971/', 'twitter': 'https://twitter.com/Investment_Navi', 'ig': 'https://www.instagram.com/investmentnavigator/?hl=de', 'home': 'https://www.investmentnavigator.com/'}",['Venture Leaders Fintech 2018'],https://www.venturelab.swiss/investment-navigator
Smeetz SA,Go beyond ticketing.,"Smeetz is the future of a unified, data-driven and dynamic pricing-oriented commerce for attractions and cultural venues.  We have built a revolutionary platform that aims to improve the way attractions and cultural venues handle their ticketing operations. We provide a unified solution that includes integrated payments and user-friendly back office specifically designed to streamline ticketing operations by connecting online and onsite sales. This includes optimized options for ticketing, merchandising and F&B sales. Smeetz’s powerful dynamic pricing and personalized cross-selling strategies are designed to help boost sales and revenue. Finally, we aim to enhance the overall visitor experience by providing email campaigns strategies based on customer insights.",06.01.2016,Renens,"['ICT', 'Big Data', 'Ecommerce', 'Machine Learning / AI', 'SaaS']","{'linkedin': 'https://www.linkedin.com/company/smeetz-sa/', 'fb': 'https://www.facebook.com/Smeetzforbusiness', 'home': 'https://business.smeetz.com'}",['Venture Leaders Technology 2023'],https://www.venturelab.swiss/smeetz
Correntics AG,Climate-risk analytics for global supply chains.,"Correntics is a Swiss climate risk analysis provider that empowers companies to anticipate and mitigate emerging risks from weather and climate extremes. Our Software-as-a-Service (SaaS) solution offers businesses unique climate-risk analytics capabilities that strengthen internal risk management in various industries, including agriculture, chemical, logistics, and financial sectors. Additionally, Correntics partners with consulting firms to increase the efficiency and accuracy of physical climate risk assessments required to comply with relevant regulations, such as the Corporate Sustainability Reporting Directive (CSRD).",11.08.2021,Zürich,"['ICT', 'Air and Environment', 'Big Data', 'Fintech', 'SaaS', 'Services for companies', 'Software']","{'linkedin': 'https://www.linkedin.com/company/correntics/', 'twitter': 'https://twitter.com/correntics', 'home': 'https://www.correntics.com'}","['TOP 100 Swiss Startups 2022', ""Venture Kick (150'000) 2022"", 'ESA BIC Switzerland ']",https://www.venturelab.swiss/correntics
Metaco SA,Next generation of financial technologies,"Established in 2014, Metaco has rapidly become an expert in helping banks and financial institutions, including national banks, capitalize on the latest blockchain technologies and systems. It has developed specialist, high-grade cryptographic solutions that can be fully integrated into a bank's core processes. The firm is also a leading provider of highly secure custody solutions for crypto assets. Its proprietary offering has continued to differentiate Metaco in the blockchain sector and position the firm at the forefront of the market.",18.11.2014,Lausanne,"['ICT', 'Blockchain', 'Fintech', 'Internet', 'Security']",{'home': 'https://metaco.com'},"[""Venture Kick (10'000) 2015""]",https://www.venturelab.swiss/Metaco
Terria AG,Mobile application platform that allows companies to manage mobile applications across platforms,"Terria Mobile's LaunchBase allows companies to efficiently develop and manage mobile applications along their lifecycle and across multiple platforms.Terria Mobile (Terria AG), the company behind LaunchBase, is a 100% mobile-specialized provider of mobile solutions. The company also offers a service portfolio around mobile initiatives, from mobile strategy consulting to app development. With its strict focus on the mobile world, Terria Mobile has been able to position itself as one of the leading Swiss providers of mobile solutions, especially in the enterprise sector with customers like KPMG, Credit-Suisse, Mettler-Toledo, and DSM.",21.02.2011,Basel,"['ICT', 'Mobile', 'Software']","{'linkedin': 'http://www.linkedin.com/company/terria-mobile', 'home': 'http://www.terria.com'}","['«venture leaders» 2013', 'Swisscom StartUp Challenge 2013', 'Red Herring Europe Winner 2012']",https://www.venturelab.swiss/Terria
Privately SA,End-to-end solution for protecting users’ private content shared digitally,"Privately’s ""right-to-be-forgotten"" solutions keep user’s content private, secure and removable on social networks. Combining end-user encryption applications (B2C), API and a service-provider platform (B2B), Privately provides an end-to-end solution for protecting users’ private content shared digitally.",17.12.2013,Lausanne,"['ICT', 'Cloud', 'Consumer', 'Internet', 'Mobile', 'SaaS', 'Security', 'Social networks', 'Software']","{'linkedin': 'https://www.linkedin.com/company/procsea', 'fb': 'https://www.facebook.com/privatelyapp', 'twitter': 'https://twitter.com/privately_app', 'home': 'https://privately.eu/'}","['TOP 100 Swiss Startups 2017', '«venture leaders» 2015']",https://www.venturelab.swiss/Privately
RoomPriceGenie AG,Revenue management for smaller hotels,"Large hotels have long known the benefit of revenue management - changing prices for their rooms with supply and demand. Smaller hotels have never been able to compete; they didn't have the budget or the expertise.  RoomPriceGenie changes this by making revenue management possible for non-expert hoteliers. We automatically look at what the other hotels around are charging and find the perfect price to sell their remaining rooms for each night.  Typically we see an increase in revenue of around 20% by putting prices up when they can do so and still sell, and reducing prices when they need to be lower to compete. This makes a huge difference to profit-margins. There are a million small and medium sized properties worldwide that can benefit, and we are building their perfect product.",12.08.2019,Steinhausen,"['ICT', 'Applications', 'Big Data', 'Cloud', 'Machine Learning / AI', 'SaaS', 'Services for companies', 'Software']","{'linkedin': 'https://www.linkedin.com/company/18556105', 'fb': 'https://www.facebook.com/roompricegenie', 'twitter': 'http://roompricegenie', 'home': 'https://roompricegenie.com'}","[""Venture Kick (150'000) 2019"", 'IMD 2020 Startup Competition', 'HSG Spin-off 2017']",https://www.venturelab.swiss/roompricegenie
Parking Solutions GmbH,A marketplace that enables short-term rent of private and co,Park-it is a marketplace that enables short-term rent of private  and corporate parking spots through a mobile phone app.,12.03.2012,,"['ICT', 'Mobile', 'Software']","{'fb': 'http://www.facebook.com/parkit.ch', 'home': 'http://www.parkit.ch'}","['TOP 100 Swiss Startups 2013', ""Venture Kick (10'000) 2013""]",https://www.venturelab.swiss/Parking
Moka Studio Sàrl,High tech startup with unique technology to animate any 3D character in real time,"With 10+ years experience in 3D animation R&D, Moka Studio has created (with EPFL) a technology that accurately controls and gives life to any 3D characters (Virtual Humans, animals, etc.), in real-time. Based on this technology, we created Mosketch. In the middle-term, Moka Studio will apply its technology to enable VR and AR for video games, telepresence, sport and rehabilitation.",16.12.2008,Martigny,"['ICT', 'Applications', 'AR/VR/MR', 'Digital Health', 'Hightech', 'Gaming', 'Media', 'Research and development', 'Sport', 'Software']","{'linkedin': 'https://www.linkedin.com/company/moka-studio/', 'fb': 'https://www.facebook.com/MokaStudioCH/', 'twitter': 'https://twitter.com/moka_studio?lang=en', 'home': 'https://www.mokastudio.com/'}",['Venture Leaders Technology 2018'],https://www.venturelab.swiss/moka-studio
holo one AG,The future global leader in the Mixed Reality B2B market,"We have developed an Augmented Reality business platform (sphere) with standardized modules which target different use cases. The modules, built for remote assistance, collaborative work and workflow support, primarily target the maintenance industry, architects and manufacturing, respectively.",18.11.2016,Lenzburg,"['ICT', 'AR/VR/MR', 'Enterprise', 'IoT', 'Mobile', 'Real estate and construction', 'Services for companies']","{'linkedin': 'https://www.linkedin.com/company/holo-one/', 'fb': 'https://www.facebook.com/holo1one/', 'twitter': 'https://twitter.com/holo1one?lang=en', 'home': 'https://holo-one.com'}","['TOP 100 Swiss Startups 2020', 'Venture Leaders China 2019']",https://www.venturelab.swiss/holo
Hive Power SA,"Energy, made smart","FLEXO by Hive Power is the ultimate solution for electric vehicle charging. It optimises anything connected to the grid, from EV charging to energy communities. Our intuitive software adapts to your needs using AI technology, considering energy market prices and PV energy availability. FLEXO connects EVs, buildings, and homes, opening up possibilities for power and data exchange. Hive Power, experienced in optimising energy communities, offers savings across multiple energy assets. FLEXO benefits EV owners, grid operators, companies with large EV fleets, and automakers, relieving pressure on the power grid and guaranteeing savings. It enables increased use of photovoltaic power and reduces total cost of ownership, benefiting all parties involved.",02.08.2017,Manno,"['ICT', 'Mobility', 'Smart Power, Green Grid', 'Machine Learning / AI']","{'linkedin': 'https://ch.linkedin.com/company/hive-power', 'twitter': 'https://twitter.com/hive_power', 'home': 'https://www.hivepower.tech/'}",None,https://www.venturelab.swiss/hive-power
Incrementech GmbH (Cataya),We bring existing marketplace brands online ,"Billions of investors' money have went into the creation of online marketplaces over the past years – with most of the money spent on brand building and marketing. Cataya brings existing regional marketplace brands online and connects numerous small businesses to the online economy. The process from setting up stores and linking them in a digital marketplace setup happens instantly and is fully automated. The platforms can then be linked to existing websites, Facebook pages or events and allow affiliate selling. We charge a set-up fee to launch the marketplace as well as monthly fees for support, maintenance and marketing support. The businesses in it are charged a sales commission. In a second step, the affiliate selling feature will also be offered to individuals promoting products on behalf of small businesses on their channels in exchange for a commission.Current focus is on the South African tourism industries where we make goods from well known touristic locations available online beyond an on-site visit. We have 4 ongoing pilots in the tourism industry, as well as one in the agricultural sector. In the agricultural space, farms can make produce easily available on an online platform for restaurants to be ordered – cutting out several middle men. Cataya has existing partnerships with digital marketing agencies in Europe and organizations promoting entrepreneurship in South Africa. We also partner with universities in South Africa as well as HTW Chur in Switzerland. Co-founder Lisa Dermont does her MBA with a major in tourism at HTW Chur and has been focusing on how tourism impacts regional development. Beyond offering services & goods on site, an online service like Cataya can drastically extend the sales cycle for companies in the tourist industry.",13.07.2018,Zurich,"['ICT', 'Consumer', 'Ecommerce', 'Internet', 'Marketplace', 'Mobile', 'Open source', 'SaaS', 'Social networks', 'Software']","{'fb': 'https://www.facebook.com/oncataya', 'home': 'https://www.cataya.ch'}","[""Venture Kick (10'000) 2018""]",https://www.venturelab.swiss/Incrementech
Dybuster AG,Training software for overcoming dyslexia and difficulties i,"The worlds most important cultural technique include reading, writing and arithmetic. Insufficient reading, writing or math skills denies access to good education and does not allow us to build trust in ourselves. Without education, we lack our own self-awareness. We are controlled from the outside, even manipulated and stand at the edge of society. This is why it is so important for us to invest in these basic pillars. At Dybuster, we looked at neuropsychological research and how neuropsychological development differs in children with dyslexia or dyscalculia. We looked at the current hypotheses, and how ed-tech could trigger similar development as it occurs in children without these learning difficulties. With Dybuster, we are not fighting the symptoms but optimazing the brain developm",12.02.2007,Zürich,None,"{'linkedin': 'https://www.linkedin.com/company/dybuster-ag', 'fb': 'https://www.facebook.com/Dybuster', 'twitter': 'https://twitter.com/dybuster_en', 'home': 'http://www.dybuster.com'}","['«venture leaders» 2008', 'ACES Awards Europe 2011', 'CTI Start-up Label 2008', 'ETH Spin-off 2007']",https://www.venturelab.swiss/Dybuster
SuitArt AG,Franchising System for Custom-made Men's Suit.,"The suit made to measure - show personality and carry conviction right from the very beginning. Custom-made suits - fair manufactured, for a good conscience.",17.06.2009,Zürich,"['ICT', 'Materials']","{'linkedin': 'http://ch.linkedin.com/pub/david-bachmann/63/54/224', 'home': 'http://www.suitart.com'}","['TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012']",https://www.venturelab.swiss/SuitArt
Prediggo SA,Intelligent cross selling solutions for eShops.,"Prediggo's mission is to help eCommerce web site to increase their profitability by increasing the conversion rate on their site. Prediggo has developed and sell a suite of 3 softwares which allows to make targeted recommendations, help the user finds what he want with a Google-like Search Engine, and personalize all the eMarketing such as Emails with our Marketing Software. Today, Prediggo has over 20 customers in 3 coutries, and is now developping its sales in France and Netherland",07.11.2008,Vevey,"['ICT', 'Cloud', 'Ecommerce', 'Software']","{'linkedin': 'https://www.linkedin.com/company/prediggo-sa', 'fb': 'https://www.facebook.com/prediggo', 'twitter': 'https://twitter.com/prediggo', 'ig': 'https://www.instagram.com/prediggo/', 'home': 'http://www.prediggo.com'}","['TOP 100 Swiss Startups 2011', '«venture leaders» 2008', ""Venture Kick (130'000) 2008"", 'Best of Swiss Web Innovation 2010', 'Best of Swiss Web Efficiency 2010', 'CTI Start-up Label 2009', 'Fondation-FIT 2008', 'EPFL Spin-off 2008', 'Innogrants 2007']",https://www.venturelab.swiss/prediggo
RAW Labs SA,Empowering enterprises to use their resources wisely,"RAW Labs SA tames the exponential growth of Big Data through innovative tools which federate and query raw data in-situ. RAW Labs empowers enterprises to use their resources wisely and discover how their data can be useful before investing in it. A full portfolio of data exploration, analysis, and mining tools are customized to the customer's needs and practices, and integrated in currently used environments. Our technologies build a superhighway to your data, enabling unlimited discovery while minimizing computer and storage needs.",06.02.2015,Lausanne,"['ICT', 'Enterprise', 'Software']","{'linkedin': 'https://www.linkedin.com/company/raw-labs', 'home': 'https://www.raw-labs.com/'}","['TOP 100 Swiss Startups 2020', 'TOP 100 Swiss Startups 2016', ""Venture Kick (30'000) 2014 "", 'EPFL Spin-off 2015', 'Fondation-FIT 2015']",https://www.venturelab.swiss/raw-labs
Collanos Software AG,"Keep all project related content in a single, consolidated workspace.","Collanos is a global startup that focuses on the collaboration needs of teams who demand a secure, cross-platform, on- and off-line and server-less solution. By leveraging open-source technologies, open standards, and a global development model, Collanos provides home and business users with a strong team-based solution that combines the benefits of classic client/server, web, and peer-to-peer architectures. Collanos was founded November 2003 and has offices in San Francisco and Zurich, Switzerland.",11.11.2003,,"['ICT', 'Software']",{},"['«venture leaders» 2004', 'CTI Start-up Label 2004']",https://www.venturelab.swiss/Collanos
Pix4D SA,Automatically combine images from mobile cameras and create ,"Started as a spin-off of the EPFL, Pix4D became the leading software editor for creating 3D models and maps from regular cameras and drones.Pix4D sold its software to thousands of professionals in the constuction, mining, farming and surveying industries. In addition to professional drones, Pix4D became the main partner of the 3 leading consumer drone manufacturers (DJI, 3DR and Parrot).Pix4D grew to 140 collaborators, half of them working on R&D and recently opened offices in China, Germany and in the US.",01.06.2011,Lausanne,"['ICT', 'Consumer products', 'Aviation and Aerospace', 'Electronics', 'Robotics', 'Media', 'Real estate and construction', 'Software']",{'home': 'https://www.pix4d.com/'},"['TOP 100 Swiss Startups 2015', 'TOP 100 Swiss Startups 2014', 'TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012', ""Venture Kick (30'000) 2011"", 'IMD 2012 Startup Competition', 'CTI Start-up Label 2012', 'MICS Spin Fund 2011']",https://www.venturelab.swiss/Pix4D
Adello AG,Our mission is to quantify the drivers of physical business.,"We believe Mobile Marketing can be exceptional when it is tied to human behavior. We make marketing matter again, by understanding the who, when, where and how. We have been innovating (several patents) as #1 Mobile Technology company in Switzerland with ~20 awards and nominations for our cookieless and compliant way of processing petabytes of data in real-time. Leveraging our patented AI platform, we deliver outstanding mobile advertising campaigns with unmatched accuracy.",05.05.2019,Zürich,"['ICT', 'Big Data', 'Cloud', 'Mobile', 'Sensors', 'Services for companies', 'SaaS']","{'linkedin': 'https://www.linkedin.com/company/adello/', 'fb': 'https://www.facebook.com/adellogroup/', 'twitter': 'https://twitter.com/adelloDACH', 'home': 'https://www.adello.com/'}","['TOP 100 Swiss Startups 2013', '«venture leaders» 2013', 'TOP 100 Swiss Startups 2012', 'Venture Leaders China 2015']",https://www.venturelab.swiss/adello
DillySocks AG,Online shop for colorful socks,"Swiss design, produced in portugal. A more colourful daily existence – that was the idea that three friends from Zurich had, which led them to found the colourful sock label DillySocks in 2013 and turn the world of feet on its head. The idea came about during a short trip they took together in 2012. Inspired by their colourful impressions from that journey, they developed a vision of making the world’s daily accessories more colourful. Those bright, colourful ideas remain an important component of the product to this day. We have pursued this idea from the beginning, and are continually creating off-beat adornments for the feet. The unique patterns of our items, inspired by the colours and shapes of everyday life, are designed and planned in Switzerland – stylish and fashionable, but colourful and cheeky. Each pair represents a step towards a more colourful world!",02.12.2013,Zürich,"['ICT', 'Consumer']","{'linkedin': 'https://www.linkedin.com/company/dillysocks-ag/', 'fb': 'https://www.facebook.com/DillySocks/', 'twitter': 'https://twitter.com/dillysocks', 'ig': 'https://www.instagram.com/dillysocks/?hl=de', 'home': 'http://dillysocks.com'}",['TOP 100 Swiss Startups 2017'],https://www.venturelab.swiss/DillySocks
Poken SA,Collect people and things with a touch,"Poken is revolutionizing the event industry with its innovative and simple solutions to generate high quality leads, get unprecedented insight into people's interests, and boost networking between participants.We provide tools and technology for tradeshow managers, exhibitors and event organizers to create interactive and exciting events, while measuring the return on investment of their lead generation activities.",19.12.2007,Lausanne,"['ICT', 'Electronics', 'Social networks']","{'fb': 'http://www.facebook.com/group.php?gid=32131856122', 'twitter': 'http://sdoutriaux', 'home': 'http://www.poken.com'}","['TOP 100 Swiss Startups 2012', 'TOP 100 Swiss Startups 2011', '«venture leaders» 2008', ""Venture Kick (130'000) 2007"", 'Global Mobile Awards 2012', 'Prix Strategis 2010', 'CTI Start-up Label 2010', 'EMEA Award 2010', 'Swiss ICT Award 2009', 'Hong Kong International Business Plan Competition 2008', 'IMD 2008 Startup Competition']",https://www.venturelab.swiss/Poken
Inspacion AG,Virtual reality design and collaboration platform for enterprises,"We are a virtual reality startup that makes planning and designing spaces easier and much faster. Our software enables whole teams to work together in VR, use their hands to interact with the space they design, and walk around naturally on foot. For instance, hospitals or factories use our solution to design optimal buildings and cut down their costs of operation.",15.02.2017,Zurich,"['ICT', 'AR/VR/MR', 'Cloud', 'Enterprise', 'Real estate and construction', 'Services for companies', 'SaaS', 'Software']","{'linkedin': 'https://www.linkedin.com/company/inspacion/', 'home': 'http://www.inspacion.com'}","[""Venture Kick (10'000) 2017""]",https://www.venturelab.swiss/Inspacion
JAMIE & I AG,"Your personal, AI-driven, online stylist","JAMIE & I - the future of E-Commerce Personalisation JAMIE & I applies the data-driven personalisation approach of Netflix & Spotify to Fashion E-Commerce;Meet Jamie, your personal artificially intelligent online stylist who curates your personal online boutique with sustainable designers - tailored to your style. Each week, Jamie sends you a curated selection of outfit recommendations tailored to your taste and upcoming events in your personal life. And the best thing is; Jamie learns more about your personal taste over time.  Sign up for free on: http://www.jamieandi.shop",15.11.2018,Bern,"['ICT', 'Consumer products', 'Big Data', 'Ecommerce', 'Internet', 'Machine Learning / AI', 'Marketing services', 'Marketplace', 'Mobile']","{'linkedin': 'https://www.linkedin.com/company/jamie-&-i/', 'fb': 'https://www.facebook.com/jamieandicom/', 'twitter': 'https://twitter.com/jamieandicom', 'home': 'https://www.jamieandi.shop'}","[""Venture Kick (10'000) 2018""]",https://www.venturelab.swiss/JAMIE
Buddybroker AG (Eqipia),Platform for online recruiting,"BuddyBroker crafts innovative and intuitive online recruiting products such as Eqipia, an automated and intelligent employee referral tool. The solution allows companies to leverage their employees networks in order to find and approach potential applicants.",01.02.2013,,"['ICT', 'Internet', 'Human ressources', 'Social networks']","{'linkedin': 'https://www.linkedin.com/profile/view?id=170180078', 'home': 'http://www.buddybroker.com'}","['«venture leaders» 2015', ""Venture Kick (10'000) 2012""]",https://www.venturelab.swiss/Buddybroker
Fashwell AG,AI image recognition software,"FASHWELL is powering the visual future of retail with the help of deep learning product recognition technology. Our mission? To automatically recognize every product in images and videos. Our vision? To make every image instantly shoppable. We do this by offering SaaS product recognition tools to brands, retailers and other eCommerce players across the globe. Easy to integrate into any platform, our products boost conversions, create new revenue channels and dramatically increase user engagement.",30.07.2014,Zürich,"['ICT', 'Big Data', 'Cloud', 'Ecommerce', 'Machine Learning / AI', 'SaaS']","{'linkedin': 'https://www.linkedin.com/company/fashwell', 'home': 'http://tech.fashwell.com'}","['TOP 100 Swiss Startups 2018', 'Venture Leaders Technology 2018', 'TOP 100 Swiss Startups 2017', 'TOP 100 Swiss Startups 2016', ""Venture Kick (10'000) 2013""]",https://www.venturelab.swiss/Fashwell
Diagonal GmbH,Your favourite movies are just a few clicks away.,"On cinexe.com filmlovers can access an extensive range of films online and enjoy them in great audio and visual quality on all regular viewing systems or hardware. In March 2009 Cinexe went online with beta testing version in German and English. From May on you can rent or buy our films also in French and Italian, then without a detailed login. All relevant types of transaction are accepted. From May on registration is not necessary anymore, but makes sense for frequent users. Films are sent to customers in a personal file, marked with his or her name. The system was developed by a group of young film producers and programmers. It has been improved and simplified by international sales and distributors experts for deployment in this new market sector.",25.08.2004,Zürich,"['ICT', 'Consumer', 'Media']",{'home': 'https://diagonal.com/de/'},"[""Venture Kick (10'000) 2008""]",https://www.venturelab.swiss/Diagonal
TrekkSoft AG,SaaS solution for tour and activity companies,"TrekkSoft is a leading online booking software provider that is transforming the tour and activity market with its constantly-evolving booking and payment solutions.A Swiss start-up founded in 2010, TrekkSoft is headquartered in Interlaken, Switzerland and has provided its software to clients in 125 countries. In February 2016, TrekkSoft signed a key partnership with the tourism board of Fjord Norway to take the Norwegian tour and activity market online.In November 2015, TrekkSoft acquired Acteavo, the Irish-based booking software company. One month later, in December 2015, TrekkSoft announced a partnership with Diviac, the online booking website for scuba holidays, to offer a one-stop solution for dive centers to manage bookings and increase online distribution.",12.03.2010,Matten bei Interlaken,"['ICT', 'Internet', 'Mobile', 'SaaS']","{'linkedin': 'https://www.linkedin.com/company/trekksoft', 'fb': 'https://www.facebook.com/trekksoft/', 'twitter': 'https://twitter.com/trekksoft', 'ig': 'https://www.instagram.com/trekksoft/', 'home': 'https://www.trekksoft.com'}","['TOP 100 Swiss Startups 2015', 'TOP 100 Swiss Startups 2014', 'TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012', 'HSG Spin-off 2010', 'TOP 100 Scale-ups 2019']",https://www.venturelab.swiss/trekksoft
GetYourGuide AG,Booking website for tours and activities,"GetYourGuide is the booking platform for incredible travel experiences. Powered by a global team of over 400 travel experts, GetYourGuide helps travelers find the best things to do wherever they’re headed — including skip-the-line tickets to the world’s most iconic attractions, walking tours by top local experts, immersive food and beverage tours, cooking and craft classes, bucket-list experiences and niche offerings you won’t find anywhere else. Since its founding in 2009, travelers from more than 170 countries have booked over 20 million tours, activities and attraction tickets through GetYourGuide. The company has offices in 14 countries around the world.",11.02.2008,Zürich,"['ICT', 'Consumer', 'Internet']","{'linkedin': 'https://www.linkedin.com/company/getyourguide-ag/', 'fb': 'https://www.facebook.com/GetYourGuide/', 'twitter': 'https://twitter.com/GetYourGuide', 'ig': 'https://www.instagram.com/getyourguide/', 'home': 'http://www.getyourguide.com'}","['TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012', 'TOP 100 Swiss Startups 2011', '«venture leaders» 2010', 'CTI Start-up Label 2013', 'Swiss ICT Award 2012', 'W.A. de Vigier Stiftung 2011', 'ETH Spin-off 2008', 'TOP 100 Scale-ups 2019']",https://www.venturelab.swiss/getyourguide
SNAQ AG,Reveal and manage impact of food on health,"Today the carb count of every third meal is estimated incorrectly by diabetes patients, causing emergency room visits and long-term diabetes complications. SNAQ is a top rated diabetes app that uses AI to provide data-driven mealtime decisions. Our patented image analysis technology has been validated in clinical studies and has regulatory documentation for CE & FDA.",06.08.2017,Winterthur,"['ICT', 'Digital Health', 'Food', 'Machine Learning / AI', 'Medical devices', 'Medtech', 'SaaS', 'Software']","{'linkedin': 'https://www.linkedin.com/company/snaq-gmbh/', 'home': 'http://www.snaq.io/'}","[""Venture Kick (10'000) 2017""]",https://www.venturelab.swiss/snaq
OneVisage LLC,The selfie authentication company.,,06.09.2013,Zürich,"['ICT', 'Fintech', 'Mobile', 'Security']",{'home': 'http://onevisage.com/'},"[""Venture Kick (10'000) 2014""]",https://www.venturelab.swiss/OneVisageLLC
Innoview Sàrl,Advanced smartphone authentication of tracing marks.,Innoview's mission is to further extend and valorize visually appealing document security technologies.,13.04.2016,Epalinges,None,{'home': 'https://www.innoview.ch/'},"[""Venture Kick (10'000) 2016"", 'EPFL Spin-off 2016']",https://www.venturelab.swiss/Advanced
senozon AG,"Managing the development of MATSim, the worldwide leading agent based transport simulation","Senozon is an international consulting and technology company with specialization in location planning and site assessment, transport planning and systems as well as mobility research, software engineering and information distribution.",24.08.2010,Zürich,"['ICT', 'Software']","{'linkedin': 'https://www.linkedin.com/company/senozon-ag', 'twitter': 'https://twitter.com/senozon', 'home': 'http://www.senozon.com'}",['TOP 100 Swiss Startups 2012'],https://www.venturelab.swiss/senozon
Textshuttle,AI Translation,"TextShuttle is a language technology company that specializes in multilingual solutions for the media industry. We combine many years of expertise in machine translation, parsing, and text mining. We have a background in academia and industry. We have worked on cross-language search solutions, terminology extraction, answer extraction and bio-medical text mining.",11.05.2006,Zürich,"['ICT', 'Enterprise', 'Machine Learning / AI', 'Media']","{'linkedin': 'https://www.linkedin.com/company/textshuttle/', 'home': 'http://www.textshuttle.com'}","[""Venture Kick (30'000) 2009"", 'UZH Spin-off 2010']",https://www.venturelab.swiss/TextShuttle
Starmind International AG,Help team members connect to expert knowledge,"Starmind, founded in 2010 in Switzerland, Zurich, has its roots in robotics and artificial intelligence. Self-learning network algorithms allow employees to access internal company know-how in real-time. Questions are entered into the Starmind system and are then automatically routed to selected experts. All questions and solutions are documented, thus making employees know-how available and building up a unique company brain. Starmind is independent from location and industry and brings competitive advantage to know-how intense businesses such as client advice, IT, technology, pharma or other. In contrast to common know-how management and social collaboration tools, Starmind focuses on fast problem solving capacity and the systematic build-up of large artificial brains in the heart of wo",04.06.2010,Küsnacht,"['ICT', 'Software']","{'linkedin': 'https://www.linkedin.com/company/starmind-com', 'fb': 'https://www.facebook.com/starmindAI', 'twitter': 'https://twitter.com/starmind', 'home': 'https://www.starmind.com'}","['TOP 100 Swiss Startups 2015', 'TOP 100 Swiss Startups 2014', 'Swiss ICT Award 2013', 'UZH Spin-off 2008']",https://www.venturelab.swiss/starmind-international
AVK systems SA,Solution suite for broadcast of  Sport audio content.,"AVK systems SA, is a Swiss technology firm that has emerged as first to market with HD Audio solutions for the sport broadcasting industry though a suite of innovative products and managed services that deliver HD Audio for all forms of sport production (Live, Slow-motion replays, highlights and even archives).",29.09.2009,Lausanne,"['ICT', 'Media', 'Sport']","{'linkedin': 'https://www.linkedin.com/company/avk-computer-systems-inc/', 'home': 'https://www.avksystems.com/company.html'}","['TOP 100 Swiss Startups 2013', 'Red Herring Europe Finalist 2013', 'CTI Start-up Label 2012', 'Fondation-FIT 2010']",https://www.venturelab.swiss/AVK
